"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","P20Headcount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10","ConsumptionFloor","diff","P20Threshold","ExtPovHC","LMPovHC","UMPovHC","NP20.Threshold","HeadCount","NP20PG","pop","P20pop","P20average","restpop","restaverage","NP20pop","NP20average","Nrestaverage","Global.Consumption.Floor","Global.Ext.HC"
0,1,"ALB","Albania","ECA","N",1981,1996,"X",58.16801,1.03,151.542,0.001144284,0.0002766051,0.0001011417,0.0003472171,0.2701034,133.1836,0.1191043,-1,2.726056,"ALB_N1996X",0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122,0.653376608023496,0.198855716,1.03,0.04140349,0.252051,0.6627115,2.94,0.1998901,0.04489901,2726056,3119.382263904,0.7810205045251,2180844.8,4.9870155926094,545211.2,2.279984553,5.65775728640753,0.87360706070596,0.4224848
0,0,"DZA","Algeria","MNA","N",1981,1988,"X",31.77229,1.03,238.2696,0,0,0,0,0.4019491,177.2964,0.2817323,0.3079208,19.943664,"DZA_N1988X",0.027,0.03839,0.04869,0.05868,0.06898,0.08035,0.09398,0.1124,0.1434,0.3281,,0.2,1.03,0.02720442,0.1729292,0.4618889,3.42,0.2000826,0.05022079,19943664,0,,15954931.2,,3988732.8,2.561224491,9.15159524711301,0.87360706070596,0.4224848
0,1,"AGO","Angola","SSA","N",1981,2000.21,"X",73.83312,1.03,167.5672,0.1214515,0.04899851,0.02731733,0.07823016,0.5195689,105.9917,0.5125765,-1,9.244507,"AGO_N2000X",0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025,0.455761111919526,0.0785485,1.03,0.2561779,0.4611733,0.7010373,1.52,0.2007432,0.08480041,9244507,1122759.2419105,0.614455809108986,7395605.6,6.18569384665387,1848901.4,0.875516884,6.66744406667123,0.87360706070596,0.4224848
0,0,"ARM","Armenia","ECA","N",1981,1996,"Y",183.7796,1.03,210.2306,0.01045402,0.002440332,0.001112813,0.00264999,0.4441862,144.9288,0.3354787,0.3826619,3.148092,"ARM_N1996Y",0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522,0.560310879831105,0.18954598,1.03,0.0957368,0.2912486,0.5772429,2.6,0.20069,0.05591173,3148092,32910.21672984,0.789562162689568,2518473.6,6.97636795034437,629618.4,1.87314751,8.17132682113014,0.87360706070596,0.4224848
0,1,"AUS","Australia","OHI","N",1981,1981,"Y",1.526641,1.03,1041.642,0.004959521,0.002785657,0.002095147,0.006106748,0.3132579,878.1883,0.1871019,-1,14.927,"AUS_N1981Y",0.02786,0.0489,0.05984,0.06916,0.07836,0.09063,0.1065,0.1272,0.1585,0.233,0.255316896516693,0.195040479,1.03,0.009935031,0.01246238,0.01747674,19,0.199867,0.06176422,14927000,74030.769967,0.451471002945647,11941600,34.4142032674448,2985400,13.1323991,39.5241057044521,0.87360706070596,0.4224848
0,1,"AUT","Austria","OHI","N",1981,2003,"Y",0.8475838,1.03,1008.466,0.002296472,0.001999101,0.001740236,0.004694326,0.2946442,875.2287,0.1587559,-1,7.56871,"AUT_N2003Y",0.0331,0.05166,0.0622,0.0722,0.08163,0.0922,0.1053,0.1213,0.146,0.2344,0.133375427254551,0.197703528,1.03,0.004829058,0.004829058,0.007456229,19,0.2023153,0.05219693,7568710,17381.33059112,0.133375077074748,6054968,33.2310544693318,1513742,14.04129165,37.9334853066781,0.87360706070596,0.4224848
0,1,"AZE","Azerbaijan","ECA","N",1981,1995,"X",0.3294187,1.03,620.6778,0.0020234,0.0004100213,8.675317e-05,0.0004610265,0.3465029,505.9117,0.2078099,-1,6.24932,"AZE_N1995X",0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677,0.812070431219061,0.1979766,1.03,0.005076344,0.01129647,0.04094769,10,0.1992907,0.05571624,6249320,12644.874088,0.821281042305031,4999456,20.4455532318003,1249864,7.214188,23.7037598493151,0.87360706070596,0.4224848
0,0,"BGD","Bangladesh","SAS","N",1981,1983.5,"X",24.84915,1.03,83.96664,0.02545682,0.005713903,0.00269407,0.006780662,0.2587649,75.06954,0.1121437,0.2039662,83.721268,"BGD_N1983X",0.04127,0.0559,0.06679,0.07612,0.08495,0.09409,0.1045,0.118,0.1397,0.2187,0.544361356851875,0.17454318,1.03,0.270362,0.7384545,0.9538535,1.7,0.2005439,0.04163189,83721268,2131277.24964776,0.798811654794275,66977014.4,2.81179112451759,16744253.6,1.346128935,3.11415160186644,0.87360706070596,0.4224848
0,0,"BLR","Belarus","ECA","N",1981,1993,"Y",1832.435,1.03,247.2384,0,0,0,0,0.2160372,228.1522,0.07740133,0.1706868,9.71,"BLR_N1993Y",0.0487,0.06248,0.07237,0.08066,0.08841,0.09634,0.1053,0.1168,0.135,0.194,,0.2,1.03,0.0004034856,0.009961452,0.1985187,5.51,0.1997809,0.03599761,9710000,0,,7768000,,1942000,4.5182658445,9.03091573065582,0.87360706070596,0.4224848
0,1,"BEL","Belgium","OHI","N",1981,2003,"Y",0.879014,1.03,918.5506,0.002354428,0.001273042,0.0006883353,0.001831873,0.2814264,819.7619,0.1450443,-1,9.858982,"BEL_N2003Y",0.03284,0.05271,0.0646,0.07461,0.08443,0.09426,0.106,0.1211,0.1472,0.2223,0.473077793976947,0.197645572,1.03,0.004962496,0.004962496,0.01237878,17.75,0.1971007,0.05457781,9858982,23212.263272296,0.473077783648512,7887185.6,30.2690763689737,1971796.4,12.9062193625,34.5220999538955,0.87360706070596,0.4224848
0,1,"BLZ","Belize","LAC","N",1981,1993,"Y",1.182611,1.03,272.2305,0.06953155,0.03252523,0.0216523,0.04998631,0.6025399,135.4174,0.7124081,-1,0.147566,"BLZ_N1993Y",0.008472,0.02114,0.02854,0.03667,0.04525,0.05523,0.07056,0.09123,0.1316,0.5113,0.344320944079412,0.13046845,1.03,0.1441956,0.3308936,0.5936755,2.24,0.2004859,0.08170064,147566,10260.4927073,0.548190132393137,118052.8,9.577893077424,29513.2,1.324952832,10.8563165865205,0.87360706070596,0.4224848
0,1,"BEN","Benin","SSA","N",1981,2003,"X",224.9172,1.03,69.10618,0.1904957,0.04627996,0.01653523,0.05862274,0.385782,51.67805,0.2463929,-1,3.820128,"BEN_N2003X",0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112,0.661994347013264,0.00950430000000002,1.03,0.5750665,0.829744,0.9489931,1.05,0.2000823,0.04911717,3820128,727717.9574496,0.779766746440996,3056102.4,2.62313836726995,764025.6,0.7921348575,2.641946285625,0.87360706070596,0.4224848
