"CountryName","OECD.Fragility.Rank"
"Somalia",1
"South Sudan",2
"Central African Republic",3
"Yemen, Republic of",4
"Congo, Democratic Republic of",5
"Afghanistan",6
"Chad",7
"Syrian Arab Republic",8
"Burundi",9
"Ethiopia",10
"Eritrea",11
"Sudan",12
"Haiti",13
"Iraq",14
"Mali",15
"Pakistan",16
"Kenya",17
"Congo, Republic of",18
"Liberia",19
"Zimbabwe",20
"Niger",21
"Gambia, The",22
"Mozambique",23
"Libya",24
"Guinea",25
"Guinea-Bissau",26
"Dem. People's Rep. Korea",27
"Mauritania",28
"Uganda",29
"Myanmar",30
"Cameroon",30
"Sierra Leone",31
"Tanzania",32
"Bangladesh",32
"Nigeria",33
"Egypt, Arab Republic of",34
"Burkina Faso",35
"Madagascar",36
"Angola",37
"West Bank and Gaza",38
"Venezuela, Republica Bolivariana de",39
"Tajikistan",40
"Guatemala",41
"Zambia",42
"Papua New Guinea",43
"Equatorial Guinea",44
"Rwanda",45
"Nepal",46
"Cote d'Ivoire",47
"Lao People's Democratic Republic",48
"Honduras",49
"Comoros",50
"Swaziland",51
"Djibouti",52
"Solomon Islands",53
"Iran, Islamic Republic of",54
"Timor-Leste",55
"Malawi",56
"Togo",57
"Benin",57
"Senegal",57
"Micronesia",57
"Lesotho",57
"Sao Tome and Principe",57
"Bulgaria",57
"St. Lucia",57
"Kiribati",57
"Suriname",57
"South Africa",57
"Gabon",57
"Belize",57
"Georgia",57
"Panama",57
"Colombia",57
"Namibia",57
"Jamaica",57
"Bolivia",57
"Botswana",57
"Macedonia, former Yugoslav Republic of",57
"Vanuatu",57
"Maldives",57
"Romania",57
"El Salvador",57
"Israel",57
"Ghana",57
"Iceland",57
"Mexico",57
"Greece",57
"Guyana",57
"Montenegro",57
"Brazil",57
"Tonga",57
"Costa Rica",57
"Italy",57
"Luxembourg",57
"Ecuador",57
"Tuvalu",57
"Uzbekistan",57
"Kosovo",57
"Cabo Verde",57
"Nicaragua",57
"Belgium",57
"Cyprus",57
"Lithuania",57
"Ireland",57
"Croatia",57
"United States",57
"Seychelles",57
"Australia",57
"Canada",57
"Korea, Republic of",57
"Spain",57
"Hungary",57
"Portugal",57
"Netherlands",57
"Estonia",57
"Paraguay",57
"Denmark",57
"Dominican Republic",57
"Chile",57
"Japan",57
"Slovak Republic",57
"Germany",57
"Bhutan",57
"Fiji",57
"Finland",57
"France",57
"Poland",57
"Sweden",57
"Philippines",57
"Czech Republic",57
"Slovenia",57
"Switzerland",57
"United Kingdom",57
"Austria",57
"Norway",57
"Latvia",57
"Samoa",57
"Azerbaijan",57
"Peru",57
"Armenia",57
"Belarus",57
"Moldova",57
"Trinidad and Tobago",57
"Albania",57
"Algeria",57
"Lebanon",57
"Serbia",57
"Thailand",57
"Kyrgyz Republic",57
"Uruguay",57
"Mauritius",57
"Bosnia and Herzegovina",57
"India",57
"Morocco",57
"Indonesia",57
"China",57
"Ukraine",57
"Vietnam",57
"Turkmenistan",57
"Tunisia",57
"Jordan",57
"Sri Lanka",57
"Kazakhstan",57
"Malaysia",57
"Mongolia",57
"Russian Federation",57
"Turkey",57
"American Samoa",57
"Andorra",57
"Antigua and Barbuda",57
"Argentina",57
"Aruba",57
"Bahrain",57
"Barbados",57
"Bermuda",57
"Brunei Darussalam",57
"Cambodia",57
"Cayman Islands",57
"Channel Islands",57
"Cuba",57
"Curaçao",57
"Dominica",57
"Faroe Islands",57
"French Polynesia",57
"Greenland",57
"Grenada",57
"Guam",57
"Hong Kong SAR, China",57
"Isle of Man",57
"Kuwait",57
"Liechtenstein",57
"Macao SAR, China",57
"Malta",57
"Marshall Islands",57
"Monaco",57
"New Caledonia",57
"New Zealand",57
"Northern Mariana Islands",57
"Oman",57
"Palau",57
"Puerto Rico",57
"Qatar",57
"San Marino",57
"Saudi Arabia",57
"Singapore",57
"Sint Maarten (Dutch part)",57
"St. Kitts and Nevis",57
"St. Martin (French part)",57
"St. Vincent and the Grenadines",57
"Bahamas",57
"Turks and Caicos Islands",57
"United Arab Emirates",57
"Virgin Islands",57
