CountryName,country
Albania,Albania
Algeria,Algeria
Angola,Angola
Armenia,Armenia
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bangladesh,Bangladesh
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Bolivia,Bolivia
Botswana,Botswana
Brazil,Brazil
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cabo Verde,Cabo Verde
Cameroon,Cameroon
Canada,Canada
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China (People's Republic of)
Colombia,Colombia
Comoros,Comoros
"Congo, Democratic Republic of","Congo, Dem. Rep."
"Congo, Republic of","Congo, Rep."
Costa Rica,Costa Rica
Cote d'Ivoire,Côte d'Ivoire
Croatia,Croatia
Cyprus,Cyprus
Czech Republic,Czech Republic
Denmark,Denmark
Dominican Republic,Dominican Republic
Ecuador,Ecuador
"Egypt, Arab Republic of","Egypt, Arab Rep."
El Salvador,El Salvador
Estonia,Estonia
Eswatini,Kingdom of eSwatini
Ethiopia,Ethiopia
Fiji,Fiji
Finland,Finland
France,France
Gabon,Gabon
"Gambia, The","Gambia, The"
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
"Iran, Islamic Republic of","Iran, Islamic Rep."
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
"Korea, Republic of","Korea, Rep."
Kyrgyz Republic,Kyrgyz Republic
Latvia,Latvia
Lesotho,Lesotho
Liberia,Liberia
Lithuania,Lithuania
Luxembourg,Luxembourg
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Mali,Mali
Malta,Malta
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Mongolia,Mongolia
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Norway,Norway
Pakistan,Pakistan
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Romania,Romania
Russian Federation,Russian Federation
Rwanda,Rwanda
Samoa,Samoa
Senegal,Senegal
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Slovak Republic,Slovak Republic
South Africa,South Africa
Spain,Spain
Sri Lanka,Sri Lanka
St. Lucia,Saint Lucia
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic,Syrian Arab Republic
Tanzania,Tanzania
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Ukraine,Ukraine
United Kingdom,United Kingdom
United States,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
"Venezuela, Republica Bolivariana de",Venezuela
Vietnam,Vietnam
"Yemen, Republic of","Yemen, Rep."
Zambia,Zambia
Zimbabwe,Zimbabwe
Bosnia and Herzegovina,Bosnia and Herzegovina
Lao People's Democratic Republic,Lao PDR
"Macedonia, former Yugoslav Republic of","Macedonia, FYR"
Moldova,Moldova
Montenegro,Montenegro
Serbia,Serbia
Slovenia,Slovenia
Tajikistan,Tajikistan
Turkmenistan,Turkmenistan
Uganda,Uganda
"Micronesia, Federated States of","Micronesia, Fed. Sts."
Djibouti,Djibouti
Lebanon,Lebanon
Solomon Islands,Solomon Islands
Tuvalu,Tuvalu
Haiti,Haiti
Kosovo,Kosovo
Maldives,Maldives
West Bank and Gaza,West Bank and Gaza
Sao Tome and Principe,São Tomé and Principe
South Sudan,South Sudan
