"di_id","Year","Depth.Of.Extreme.Poverty"
"AL",1981,0.006502471
"AL",1982,
"AL",1983,
"AL",1984,0.005275643
"AL",1985,
"AL",1986,
"AL",1987,0.005853738
"AL",1988,
"AL",1989,
"AL",1990,0.005816086
"AL",1991,
"AL",1992,
"AL",1993,0.005275724
"AL",1994,
"AL",1995,
"AL",1996,0.00190614
"AL",1997,
"AL",1998,
"AL",1999,0.008419482
"AL",2000,
"AL",2001,
"AL",2002,0.003535215
"AL",2003,
"AL",2004,
"AL",2005,0.001822009
"AL",2006,
"AL",2007,
"AL",2008,0.0006791754
"AL",2009,
"AL",2010,0.001482127
"AL",2011,0.001782187
"AL",2012,0.002174086
"AL",2013,0.002008724
"AL",2014,
"AL",2015,0.001685226
"AL",2016,
"AL",2017,
"DZ",1981,0.001977771
"DZ",1982,
"DZ",1983,
"DZ",1984,0.001124226
"DZ",1985,
"DZ",1986,
"DZ",1987,0.003660749
"DZ",1988,0.009068439
"DZ",1989,
"DZ",1990,0.00755401
"DZ",1991,
"DZ",1992,
"DZ",1993,0.011231
"DZ",1994,
"DZ",1995,0.01154988
"DZ",1996,0.0130961
"DZ",1997,
"DZ",1998,
"DZ",1999,0.01218983
"DZ",2000,
"DZ",2001,
"DZ",2002,0.007565543
"DZ",2003,
"DZ",2004,
"DZ",2005,0.004453945
"DZ",2006,
"DZ",2007,
"DZ",2008,0.002632589
"DZ",2009,
"DZ",2010,0.001845768
"DZ",2011,0.001570234
"DZ",2012,0.001462691
"DZ",2013,0.001387064
"DZ",2014,
"DZ",2015,0.001289487
"DZ",2016,
"DZ",2017,
"AO",1981,0.1139267
"AO",1982,
"AO",1983,
"AO",1984,0.1147766
"AO",1985,
"AO",1986,
"AO",1987,0.1074911
"AO",1988,
"AO",1989,
"AO",1990,0.1111495
"AO",1991,
"AO",1992,
"AO",1993,0.1961231
"AO",1994,
"AO",1995,
"AO",1996,0.1637505
"AO",1997,
"AO",1998,
"AO",1999,0.1467109
"AO",2000,0.1464955
"AO",2001,
"AO",2002,0.1877417
"AO",2003,
"AO",2004,
"AO",2005,0.1693341
"AO",2006,
"AO",2007,
"AO",2008,0.09391521
"AO",2009,
"AO",2010,0.09808685
"AO",2011,0.09752229
"AO",2012,0.0945302
"AO",2013,0.08846277
"AO",2014,
"AO",2015,0.08702354
"AO",2016,
"AO",2017,
"AM",1981,0.0221702
"AM",1982,
"AM",1983,
"AM",1984,0.01864924
"AM",1985,
"AM",1986,
"AM",1987,0.02090072
"AM",1988,
"AM",1989,
"AM",1990,0.02578858
"AM",1991,
"AM",1992,
"AM",1993,0.08676723
"AM",1994,
"AM",1995,
"AM",1996,0.04821866
"AM",1997,
"AM",1998,
"AM",1999,0.04067171
"AM",2000,
"AM",2001,0.0444679
"AM",2002,0.03232878
"AM",2003,0.02025005
"AM",2004,0.01805002
"AM",2005,0.009064681
"AM",2006,0.005680918
"AM",2007,0.004860256
"AM",2008,0.002889123
"AM",2009,0.00345313
"AM",2010,0.002908874
"AM",2011,0.003468121
"AM",2012,0.002675277
"AM",2013,0.005215183
"AM",2014,0.004061165
"AM",2015,0.003501779
"AM",2016,0.002944529
"AM",2017,
"AU",1981,0.00486439
"AU",1982,
"AU",1983,
"AU",1984,0.005452428
"AU",1985,0.005755681
"AU",1986,
"AU",1987,0.005126933
"AU",1988,
"AU",1989,0.004507177
"AU",1990,0.004745692
"AU",1991,
"AU",1992,
"AU",1993,0.005629524
"AU",1994,
"AU",1995,0.006163102
"AU",1996,0.006168762
"AU",1997,
"AU",1998,
"AU",1999,0.006145006
"AU",2000,
"AU",2001,0.006152732
"AU",2002,0.006866103
"AU",2003,0.007549679
"AU",2004,
"AU",2005,0.005760657
"AU",2006,
"AU",2007,
"AU",2008,0.003435847
"AU",2009,
"AU",2010,0.003164414
"AU",2011,0.003121259
"AU",2012,0.003106054
"AU",2013,0.003109333
"AU",2014,
"AU",2015,0.003064583
"AU",2016,
"AU",2017,
"AT",1981,0.002529456
"AT",1982,
"AT",1983,
"AT",1984,0.002408113
"AT",1985,
"AT",1986,
"AT",1987,0.002253799
"AT",1988,
"AT",1989,
"AT",1990,0.002099536
"AT",1991,
"AT",1992,
"AT",1993,0.002092412
"AT",1994,
"AT",1995,
"AT",1996,0.002081865
"AT",1997,
"AT",1998,
"AT",1999,0.002070292
"AT",2000,
"AT",2001,
"AT",2002,0.002061147
"AT",2003,0.002058241
"AT",2004,0
"AT",2005,0.0004100696
"AT",2006,0
"AT",2007,0.00232654
"AT",2008,0.002340183
"AT",2009,0.004410628
"AT",2010,0.003533167
"AT",2011,0.003005017
"AT",2012,0.004229655
"AT",2013,0.001434398
"AT",2014,0.001432705
"AT",2015,0.005364504
"AT",2016,
"AT",2017,
"AZ",1981,0.00198188
"AZ",1982,
"AZ",1983,
"AZ",1984,0.001863972
"AZ",1985,
"AZ",1986,
"AZ",1987,0.001938872
"AZ",1988,
"AZ",1989,
"AZ",1990,0.002193614
"AZ",1991,
"AZ",1992,
"AZ",1993,0.009613789
"AZ",1994,
"AZ",1995,0.02179741
"AZ",1996,0.0189337
"AZ",1997,
"AZ",1998,
"AZ",1999,0.009450774
"AZ",2000,
"AZ",2001,0.00473589
"AZ",2002,0
"AZ",2003,0
"AZ",2004,0
"AZ",2005,0
"AZ",2006,
"AZ",2007,
"AZ",2008,0
"AZ",2009,
"AZ",2010,0
"AZ",2011,0
"AZ",2012,0
"AZ",2013,0
"AZ",2014,
"AZ",2015,0
"AZ",2016,
"AZ",2017,
"BD",1981,0.06238934
"BD",1982,
"BD",1983,0.07075914
"BD",1984,0.06080345
"BD",1985,0.04772153
"BD",1986,
"BD",1987,0.0696256
"BD",1988,0.09073016
"BD",1989,
"BD",1990,0.0933758
"BD",1991,0.1132816
"BD",1992,
"BD",1993,0.09254768
"BD",1994,
"BD",1995,0.08187385
"BD",1996,0.08546085
"BD",1997,
"BD",1998,
"BD",1999,0.08690468
"BD",2000,0.07975444
"BD",2001,
"BD",2002,0.07557589
"BD",2003,
"BD",2004,
"BD",2005,0.05074974
"BD",2006,
"BD",2007,
"BD",2008,0.03966361
"BD",2009,
"BD",2010,0.0360071
"BD",2011,0.03334225
"BD",2012,0.03219163
"BD",2013,0.03049931
"BD",2014,
"BD",2015,0.02752135
"BD",2016,0.02710634
"BD",2017,
"BY",1981,9.868693e-05
"BY",1982,
"BY",1983,
"BY",1984,7.929611e-05
"BY",1985,
"BY",1986,
"BY",1987,8.004881e-05
"BY",1988,
"BY",1989,
"BY",1990,9.413664e-05
"BY",1991,
"BY",1992,
"BY",1993,0.0001750187
"BY",1994,
"BY",1995,0.003537563
"BY",1996,0.003360707
"BY",1997,
"BY",1998,0.02730881
"BY",1999,0.02641863
"BY",2000,0.0173051
"BY",2001,0.006908987
"BY",2002,0.004606015
"BY",2003,0.003461718
"BY",2004,0.0006962558
"BY",2005,0.0006993069
"BY",2006,0.0003858151
"BY",2007,3.427705e-05
"BY",2008,0
"BY",2009,7.088161e-05
"BY",2010,0
"BY",2011,0
"BY",2012,0
"BY",2013,0
"BY",2014,0
"BY",2015,0
"BY",2016,0
"BY",2017,
"BE",1981,0.002071025
"BE",1982,
"BE",1983,
"BE",1984,0.001992964
"BE",1985,
"BE",1986,
"BE",1987,0.001780043
"BE",1988,
"BE",1989,
"BE",1990,0.001650812
"BE",1991,
"BE",1992,
"BE",1993,0.00162758
"BE",1994,
"BE",1995,
"BE",1996,0.001587252
"BE",1997,
"BE",1998,
"BE",1999,0.001544421
"BE",2000,
"BE",2001,
"BE",2002,0.001517805
"BE",2003,0.001516994
"BE",2004,0
"BE",2005,0.001338959
"BE",2006,0.0008176317
"BE",2007,0.0002325692
"BE",2008,0
"BE",2009,0
"BE",2010,0.0006898708
"BE",2011,0.0007390767
"BE",2012,0.000903115
"BE",2013,0.0007271686
"BE",2014,0
"BE",2015,0
"BE",2016,
"BE",2017,
"BZ",1981,0.06501653
"BZ",1982,
"BZ",1983,
"BZ",1984,0.08629175
"BZ",1985,
"BZ",1986,
"BZ",1987,0.08441356
"BZ",1988,
"BZ",1989,
"BZ",1990,0.06191282
"BZ",1991,
"BZ",1992,
"BZ",1993,0.05019928
"BZ",1994,0.04548655
"BZ",1995,0.04695287
"BZ",1996,0.05545999
"BZ",1997,0.07719819
"BZ",1998,0.06073292
"BZ",1999,0.0661346
"BZ",2000,
"BZ",2001,
"BZ",2002,0.05648304
"BZ",2003,
"BZ",2004,
"BZ",2005,0.06131024
"BZ",2006,
"BZ",2007,
"BZ",2008,0.06853055
"BZ",2009,
"BZ",2010,0.0645826
"BZ",2011,0.06279709
"BZ",2012,0.06189461
"BZ",2013,0.05996166
"BZ",2014,
"BZ",2015,0.05972956
"BZ",2016,
"BZ",2017,
"BJ",1981,0.2074585
"BJ",1982,
"BJ",1983,
"BJ",1984,0.2187541
"BJ",1985,
"BJ",1986,
"BJ",1987,0.2217909
"BJ",1988,
"BJ",1989,
"BJ",1990,0.2228212
"BJ",1991,
"BJ",1992,
"BJ",1993,0.214017
"BJ",1994,
"BJ",1995,
"BJ",1996,0.2057494
"BJ",1997,
"BJ",1998,
"BJ",1999,0.1852307
"BJ",2000,
"BJ",2001,
"BJ",2002,0.1636311
"BJ",2003,0.1624999
"BJ",2004,
"BJ",2005,0.1727519
"BJ",2006,
"BJ",2007,
"BJ",2008,0.1703689
"BJ",2009,
"BJ",2010,0.1852227
"BJ",2011,0.1899822
"BJ",2012,0.1960009
"BJ",2013,0.2051138
"BJ",2014,
"BJ",2015,0.2237397
"BJ",2016,
"BJ",2017,
"BT",1981,0.3853202
"BT",1982,
"BT",1983,
"BT",1984,0.3432317
"BT",1985,
"BT",1986,
"BT",1987,0.2290093
"BT",1988,
