"di_id","Year","P20population"
"AL",1981,3119
"AL",1982,
"AL",1983,
"AL",1984,9104
"AL",1985,
"AL",1986,
"AL",1987,14324
"AL",1988,
"AL",1989,
"AL",1990,13406
"AL",1991,
"AL",1992,
"AL",1993,14992
"AL",1994,
"AL",1995,
"AL",1996,12923
"AL",1997,
"AL",1998,
"AL",1999,60445
"AL",2000,
"AL",2001,
"AL",2002,30386
"AL",2003,
"AL",2004,
"AL",2005,32570
"AL",2006,
"AL",2007,
"AL",2008,13805
"AL",2009,
"AL",2010,36331
"AL",2011,50926
"AL",2012,72247
"AL",2013,87135
"AL",2014,
"AL",2015,95641
"AL",2016,
"AL",2017,
"DZ",1981,0
"DZ",1982,
"DZ",1983,
"DZ",1984,0
"DZ",1985,
"DZ",1986,
"DZ",1987,0
"DZ",1988,
"DZ",1989,
"DZ",1990,47502
"DZ",1991,
"DZ",1992,
"DZ",1993,341835
"DZ",1994,
"DZ",1995,
"DZ",1996,820591
"DZ",1997,
"DZ",1998,
"DZ",1999,839680
"DZ",2000,
"DZ",2001,
"DZ",2002,682003
"DZ",2003,
"DZ",2004,
"DZ",2005,645056
"DZ",2006,
"DZ",2007,
"DZ",2008,468870
"DZ",2009,
"DZ",2010,363592
"DZ",2011,347869
"DZ",2012,349380
"DZ",2013,406806
"DZ",2014,
"DZ",2015,458940
"DZ",2016,
"DZ",2017,
"AO",1981,1122759
"AO",1982,
"AO",1983,
"AO",1984,1558289
"AO",1985,
"AO",1986,
"AO",1987,1793853
"AO",1988,
"AO",1989,
"AO",1990,1980280
"AO",1991,
"AO",1992,
"AO",1993,3967285
"AO",1994,
"AO",1995,
"AO",1996,4134017
"AO",1997,
"AO",1998,
"AO",1999,4088359
"AO",2000,
"AO",2001,
"AO",2002,6325744
"AO",2003,
"AO",2004,
"AO",2005,7825129
"AO",2006,
"AO",2007,
"AO",2008,6894818
"AO",2009,
"AO",2010,8434169
"AO",2011,9563616
"AO",2012,10076654
"AO",2013,10781665
"AO",2014,
"AO",2015,12335136
"AO",2016,
"AO",2017,
"AM",1981,32910
"AM",1982,
"AM",1983,
"AM",1984,53380
"AM",1985,
"AM",1986,
"AM",1987,93429
"AM",1988,
"AM",1989,
"AM",1990,118922
"AM",1991,
"AM",1992,
"AM",1993,495479
"AM",1994,
"AM",1995,
"AM",1996,339358
"AM",1997,
"AM",1998,
"AM",1999,288035
"AM",2000,
"AM",2001,
"AM",2002,272139
"AM",2003,
"AM",2004,
"AM",2005,121657
"AM",2006,
"AM",2007,
"AM",2008,47878
"AM",2009,
"AM",2010,109661
"AM",2011,143461
"AM",2012,160435
"AM",2013,207597
"AM",2014,
"AM",2015,226406
"AM",2016,
"AM",2017,
"AU",1981,74031
"AU",1982,
"AU",1983,
"AU",1984,104371
"AU",1985,
"AU",1986,
"AU",1987,99875
"AU",1988,
"AU",1989,
"AU",1990,92178
"AU",1991,
"AU",1992,
"AU",1993,117650
"AU",1994,
"AU",1995,
"AU",1996,137220
"AU",1997,
"AU",1998,
"AU",1999,141605
"AU",2000,
"AU",2001,
"AU",2002,171433
"AU",2003,
"AU",2004,
"AU",2005,162771
"AU",2006,
"AU",2007,
"AU",2008,106087
"AU",2009,
"AU",2010,109726
"AU",2011,111261
"AU",2012,113195
"AU",2013,115133
"AU",2014,
"AU",2015,118479
"AU",2016,
"AU",2017,
"AT",1981,17381
