"di_id","Year","P20percentage"
"AL",1981,0.001144284
"AL",1982,
"AL",1983,
"AL",1984,0.003134484
"AL",1985,
"AL",1986,
"AL",1987,0.004645278
"AL",1988,
"AL",1989,
"AL",1990,0.004079184
"AL",1991,
"AL",1992,
"AL",1993,0.004645278
"AL",1994,
"AL",1995,
"AL",1996,0.004079184
"AL",1997,
"AL",1998,
"AL",1999,0.01944322
"AL",2000,
"AL",2001,
"AL",2002,0.009959315
"AL",2003,
"AL",2004,
"AL",2005,0.01081512
"AL",2006,
"AL",2007,
"AL",2008,0.004684011
"AL",2009,
"AL",2010,0.01247185
"AL",2011,0.0175292
"AL",2012,0.02490918
"AL",2013,0.03009763
"AL",2014,
"AL",2015,0.03320074
"AL",2016,
"AL",2017,
"DZ",1981,0
"DZ",1982,
"DZ",1983,
"DZ",1984,0
"DZ",1985,
"DZ",1986,
"DZ",1987,0
"DZ",1988,
"DZ",1989,
"DZ",1990,0.00183318
"DZ",1991,
"DZ",1992,
"DZ",1993,0.01230232
"DZ",1994,
"DZ",1995,
"DZ",1996,0.02790042
"DZ",1997,
"DZ",1998,
"DZ",1999,0.02729281
"DZ",2000,
"DZ",2001,
"DZ",2002,0.0213159
"DZ",2003,
"DZ",2004,
"DZ",2005,0.01937778
"DZ",2006,
"DZ",2007,
"DZ",2008,0.01344981
"DZ",2009,
"DZ",2010,0.01006687
"DZ",2011,0.009447942
"DZ",2012,0.00930046
"DZ",2013,0.01061089
"DZ",2014,
"DZ",2015,0.01151046
"DZ",2016,
"DZ",2017,
"AO",1981,0.1214515
"AO",1982,
"AO",1983,
"AO",1984,0.151624
"AO",1985,
"AO",1986,
"AO",1987,0.1599046
"AO",1988,
"AO",1989,
"AO",1990,0.1626989
"AO",1991,
"AO",1992,
"AO",1993,0.2959836
"AO",1994,
"AO",1995,
"AO",1996,0.281565
"AO",1997,
"AO",1998,
"AO",1999,0.2563272
"AO",2000,
"AO",2001,
"AO",2002,0.3599767
"AO",2003,
"AO",2004,
"AO",2005,0.4002103
"AO",2006,
"AO",2007,
"AO",2008,0.3168659
"AO",2009,
"AO",2010,0.3609107
"AO",2011,0.3948878
"AO",2012,0.4015219
"AO",2013,0.4147059
"AO",2014,
"AO",2015,0.4427654
"AO",2016,
"AO",2017,
"AM",1981,0.01045402
"AM",1982,
"AM",1983,
