"di_id","Year","ModeratePovertyPercentage"
"AL",1981,0.252051
"AL",1982,
"AL",1983,
"AL",1984,0.2372684
"AL",1985,
"AL",1986,
"AL",1987,0.2441632
"AL",1988,
"AL",1989,
"AL",1990,0.2438462
"AL",1991,
"AL",1992,
"AL",1993,0.2372684
"AL",1994,
"AL",1995,
"AL",1996,0.1385189
"AL",1997,
"AL",1998,
"AL",1999,0.2790229
"AL",2000,
"AL",2001,
"AL",2002,0.1698068
"AL",2003,
"AL",2004,
"AL",2005,0.1088009
"AL",2006,
"AL",2007,
"AL",2008,0.06545949
"AL",2009,
"AL",2010,0.07274629
"AL",2011,0.07159853
"AL",2012,0.07671665
"AL",2013,0.07266002
"AL",2014,
"AL",2015,0.06130297
"AL",2016,
"AL",2017,
"DZ",1981,0.1729292
"DZ",1982,
"DZ",1983,
"DZ",1984,0.1581748
"DZ",1985,
"DZ",1986,
"DZ",1987,0.19574
"DZ",1988,
"DZ",1989,
"DZ",1990,0.2222882
"DZ",1991,
"DZ",1992,
"DZ",1993,0.2459095
"DZ",1994,
"DZ",1995,
"DZ",1996,0.2562916
"DZ",1997,
"DZ",1998,
"DZ",1999,0.2517087
"DZ",2000,
"DZ",2001,
"DZ",2002,0.1845946
"DZ",2003,
"DZ",2004,
"DZ",2005,0.1283441
"DZ",2006,
"DZ",2007,
"DZ",2008,0.08100622
"DZ",2009,
"DZ",2010,0.05272592
"DZ",2011,0.04061553
"DZ",2012,0.03478338
"DZ",2013,0.03047524
"DZ",2014,
"DZ",2015,0.02512442
"DZ",2016,
"DZ",2017,
"AO",1981,0.4611733
"AO",1982,
"AO",1983,
"AO",1984,0.4648582
"AO",1985,
"AO",1986,
"AO",1987,0.4419423
"AO",1988,
"AO",1989,
"AO",1990,0.454001
"AO",1991,
"AO",1992,
"AO",1993,0.663789
"AO",1994,
"AO",1995,
"AO",1996,0.5968573
"AO",1997,
"AO",1998,
"AO",1999,0.5563611
"AO",2000,
"AO",2001,
"AO",2002,0.649983
"AO",2003,
"AO",2004,
"AO",2005,0.6435326
"AO",2006,
"AO",2007,
"AO",2008,0.5405883
"AO",2009,
"AO",2010,0.5638262
"AO",2011,0.561543
"AO",2012,0.5534787
"AO",2013,0.5418012
"AO",2014,
"AO",2015,0.5385938
"AO",2016,
"AO",2017,
"AM",1981,0.2912486
"AM",1982,
"AM",1983,
"AM",1984,0.2675533
"AM",1985,
"AM",1986,
"AM",1987,0.2829865
"AM",1988,
"AM",1989,
"AM",1990,0.3133495
"AM",1991,
"AM",1992,
"AM",1993,0.5532158
"AM",1994,
"AM",1995,
"AM",1996,0.4208927
"AM",1997,
"AM",1998,
"AM",1999,0.5247357
"AM",2000,
"AM",2001,
"AM",2002,0.5226466
"AM",2003,
"AM",2004,
"AM",2005,0.2687285
"AM",2006,
"AM",2007,
"AM",2008,0.1360264
"AM",2009,
"AM",2010,0.2045839
"AM",2011,0.1882657
"AM",2012,0.1710122
"AM",2013,0.1623554
"AM",2014,
"AM",2015,0.1345875
"AM",2016,
"AM",2017,
"AU",1981,0.01246238
"AU",1982,
"AU",1983,
"AU",1984,0.01236906
"AU",1985,
"AU",1986,
"AU",1987,0.0111446
"AU",1988,
"AU",1989,
"AU",1990,0.01032872
"AU",1991,
"AU",1992,
"AU",1993,0.0114611
"AU",1994,
"AU",1995,
"AU",1996,0.01183346
"AU",1997,
"AU",1998,
"AU",1999,0.009922871
"AU",2000,
"AU",2001,
"AU",2002,0.0111667
"AU",2003,
"AU",2004,
"AU",2005,0.008978255
"AU",2006,
"AU",2007,
"AU",2008,0.004992525
"AU",2009,
"AU",2010,0.004980354
"AU",2011,0.004980354
"AU",2012,0.004980354
"AU",2013,0.004980354
"AU",2014,
"AU",2015,0.004980354
"AU",2016,
"AU",2017,
"AT",1981,0.004829058
"AT",1982,
"AT",1983,
"AT",1984,0.004829058
"AT",1985,
"AT",1986,
"AT",1987,0.004829058
"AT",1988,
"AT",1989,
"AT",1990,0.004829058
"AT",1991,
"AT",1992,
"AT",1993,0.004829058
"AT",1994,
"AT",1995,
"AT",1996,0.004829058
"AT",1997,
"AT",1998,
"AT",1999,0.004829058
"AT",2000,
"AT",2001,
"AT",2002,0.004829058
"AT",2003,
"AT",2004,
"AT",2005,0.002370677
"AT",2006,
"AT",2007,
"AT",2008,0.004929696
"AT",2009,
"AT",2010,0.004952629
"AT",2011,0.004942109
"AT",2012,0.007474631
"AT",2013,0.004742668
"AT",2014,
"AT",2015,0.007479796
"AT",2016,
"AT",2017,
"AZ",1981,0.01129647
"AZ",1982,
"AZ",1983,
"AZ",1984,0.009890795
"AZ",1985,
"AZ",1986,
"AZ",1987,0.01129647
"AZ",1988,
"AZ",1989,
