"di_id","Year","ExtPovHC","ExtPovHC.Interp.Trunc","ExtPovHC.Interp"
"AL",1981,0.04140349,0.04140349,0.04140349
"AL",1982,,0.0393846633333333,0.0393846633333333
"AL",1983,,0.0373658366666667,0.0373658366666667
"AL",1984,0.03534701,0.03534701,0.03534701
"AL",1985,,0.0356647333333333,0.0356647333333333
"AL",1986,,0.0359824566666667,0.0359824566666667
"AL",1987,0.03630018,0.03630018,0.03630018
"AL",1988,,0.0362018,0.0362018
"AL",1989,,0.03610342,0.03610342
"AL",1990,0.03600504,0.03600504,0.03600504
"AL",1991,,0.0357856966666667,0.0357856966666667
"AL",1992,,0.0355663533333333,0.0355663533333333
"AL",1993,0.03534701,0.03534701,0.03534701
"AL",1994,,0.0272464366666667,0.0272464366666667
"AL",1995,,0.0191458633333333,0.0191458633333333
"AL",1996,0.01104529,0.01104529,0.01104529
"AL",1997,,0.0238838466666667,0.0238838466666667
"AL",1998,,0.0367224033333333,0.0367224033333333
"AL",1999,0.04956096,0.04956096,0.04956096
"AL",2000,,0.03986504,0.03986504
"AL",2001,,0.03016912,0.03016912
"AL",2002,0.0204732,0.0204732,0.0204732
"AL",2003,,0.01739456,0.01739456
"AL",2004,,0.01431592,0.01431592
"AL",2005,0.01123728,0.01123728,0.01123728
"AL",2006,,0.008726579,0.008726579
"AL",2007,,0.006215878,0.006215878
"AL",2008,0.003705177,0.003705177,0.003705177
"AL",2009,,0.0055162095,0.0055162095
"AL",2010,0.007327242,0.007327242,0.007327242
"AL",2011,0.00876353,0.00876353,0.00876353
"AL",2012,0.01063921,0.01063921,0.01063921
"AL",2013,0.0102041,0.0102041,0.0102041
"AL",2014,,,0.009350822
"AL",2015,0.008497544,,0.008497544
"AL",2016,,,0.008497544
"AL",2017,,,0.008497544
"DZ",1981,0.02720442,0.02720442,0.02720442
"DZ",1982,,0.0248091,0.0248091
"DZ",1983,,0.02241378,0.02241378
"DZ",1984,0.02001846,0.02001846,0.02001846
"DZ",1985,,0.0261286333333333,0.0261286333333333
"DZ",1986,,0.0322388066666667,0.0322388066666667
