"di_id","Year","Poorpop","Poorpop.Interp","P20population"
"AL",1981,112868.23233544,112868.23233544,3119.382263904
"AL",1982,,109466.448526057,
"AL",1983,,106064.664716673,
"AL",1984,102662.88090729,102662.88090729,9103.886229636
"AL",1985,,105753.72612116,
"AL",1986,,108844.57133503,
"AL",1987,111935.4165489,111935.4165489,14324.20246719
"AL",1988,,114067.63642316,
"AL",1989,,116199.85629742,
"AL",1990,118332.07617168,118332.07617168,13406.409541728
"AL",1991,,116913.032735077,
"AL",1992,,115493.989298473,
"AL",1993,114074.94586187,114074.94586187,14991.645300786
"AL",1994,,87713.9116461033,
"AL",1995,,61352.8774303367,
"AL",1996,34991.84321457,34991.84321457,12922.989525072
"AL",1997,,74685.90284534,
"AL",1998,,114379.96247611,
"AL",1999,154074.02210688,154074.02210688,60444.65458516
"AL",2000,,123537.32738192,
"AL",2001,,93000.63265696,
"AL",2002,62463.937932,62463.937932,30385.96965815
"AL",2003,,52922.93283312,
"AL",2004,,43381.92773424,
"AL",2005,33840.92263536,33840.92263536,32569.59328344
"AL",2006,,26200.721771766,
"AL",2007,,18560.520908172,
"AL",2008,10920.320044578,10920.320044578,13805.251196454
"AL",2009,,16132.36493133,
"AL",2010,21344.409818082,21344.409818082,36330.76095885
"AL",2011,25459.76353835,25459.76353835,50925.744194
"AL",2012,30857.97532321,30857.97532321,72246.61058118
"AL",2013,29541.8082772,29541.8082772,87135.40783196
"AL",2014,,27010.354385316,
"AL",2015,24478.900493432,24478.900493432,95641.47132022
"AL",2016,,24478.900493432,
"AL",2017,,24478.900493432,
"DZ",1981,542555.81179488,542555.81179488,0
"DZ",1982,,507797.61470538,
"DZ",1983,,473039.41761588,
"DZ",1984,438281.22052638,438281.22052638,0
"DZ",1985,,597929.798249273,
"DZ",1986,,757578.375972167,
"DZ",1987,917226.95369506,917226.95369506,0
"DZ",1988,,1067470.69048923,
"DZ",1989,,1217714.4272834,
"DZ",1990,1367958.16407757,1367958.16407757,47502.03293706
"DZ",1991,,1485961.38266747,
"DZ",1992,,1603964.60125738,
"DZ",1993,1721967.81984728,1721967.81984728,341835.44982088
"DZ",1994,,1785450.2806613,
