"CountryName","di_id","Poorpop","shareofpoor","share_forecasted_pov","poorpop2030"
"Burkina Faso","BF","7751528","0.0105339551482232",0.000964377254147202,492884784
"Central African Republic","CF","3533889","0.00480238582958085",0.000275573379113599,140843145
"Chad","TD","4782584","0.00649930250508154",0.0010077243622294,515039112
"Congo, Democratic Republic of","CD","55107947","0.0748890595516986",0.00683409330993,3492845347
"Mali","ML","8348652","0.01134541805385",0.00428813061803259,2191626072
"Mauritania","MR","261186","0.000354939259632915",0.000974946779482529,498286776
"Niger","NE","8855713","0.0120344896577213",0.00623061359436532,3184412140
"Sudan","SD","2962421","0.00402578819868217",0.0123400368748061,6306884970
"Syrian Arab Republic","SY","3970328","0.0053954855192079",,
"Yemen, Republic of","YE","10994022","0.0149403491345937",0.00986848063460482,5043694182
"Djibouti","DJ","172514","0.000234438260229541",7.75690238878985e-05,39644850
"Haiti","HT","2535425","0.0034455210936068",0.00127626156347109,652286128
"West Bank and Gaza","PS","26222","3.56344416090231e-05",,
"South Sudan","SS","8704619","0.011829160151182",0.00374734395678849,1915234737
,"SO","","",,
,"AF","","",,
